ID,Name
TAXON01,Acari
TAXON02,Amphipoda
TAXON03,Cladocera
TAXON04,Copepoda
TAXON05,Decapoda
TAXON06,Gastropoda
TAXON07,Hirudinea
TAXON08,Isopoda
TAXON09,Nematoda
TAXON10,Nematomorpha
TAXON11,Pelecypoda
TAXON12,Oligochaeta
TAXON13,Ostracoda
TAXON14,Turbellaria
TAXON15,Ameletidae
TAXON16,Baetidae
TAXON17,Caenidae
TAXON18,Ephemerellidae
TAXON19,Ephemeridae
TAXON20,Heptageniidae
TAXON21,Isonychiidae
TAXON22,Leptohyphidae
TAXON23,Leptophlebiidae
TAXON24,Siphlonuridae
TAXON25,Capniidae
TAXON26,Chloroperlidae
TAXON27,Leuctridae
TAXON28,Nemouridae
TAXON29,Peltoperlidae
TAXON30,Perlidae
TAXON31,Perlodidae
TAXON32,Pteronarcyidae
TAXON33,Taeniopterygidae
TAXON34,Arctopsychinae
TAXON35,Brachycentridae
TAXON36,Calamoceratidae
TAXON37,Glossosomatidae
TAXON38,Goeridae
TAXON39,Helicopsychidae
TAXON40,Hydropsychidae
TAXON41,Hydroptilidae
TAXON42,Lepidostomatidae
TAXON43,Leptoceridae
TAXON44,Limnephilidae
TAXON45,Odontoceridae
TAXON46,Philopotamidae
TAXON47,Phryganeidae
TAXON48,Polycentropodidae
TAXON49,Psychomyiidae
TAXON50,Rhyacophilidae
TAXON51,Sericostomatidae
TAXON52,Uenoidae
TAXON53,Athericidae
TAXON54,Blephariceridae
TAXON55,Ceratopogonidae
TAXON56,Chironomidae
TAXON57,Deuterophlebiidae
TAXON58,Dixidae
TAXON59,Empididae
TAXON60,Ephydridae
TAXON61,Psychodidae
TAXON62,Simuliidae
TAXON63,Stratiomyidae
TAXON64,Tabanidae
TAXON65,Tipulidae
TAXON66,Amphizoidae
TAXON67,Dryopidae
TAXON68,Dytiscidae
TAXON69,Elmidae
TAXON70,Gyrinidae
TAXON71,Haliplidae
TAXON72,Helophoridae
TAXON73,Hydraenidae
TAXON74,Hydrophilidae
TAXON75,Psephenidae
TAXON76,Aeshnidae
TAXON77,Calopterygidae
TAXON78,Coenagrionidae
TAXON79,Cordulegastridae
TAXON80,Corduliidae
TAXON81,Gomphidae
TAXON82,Lestidae
TAXON83,Libellulidae
TAXON84,Belostomatidae
TAXON85,Corixidae
TAXON86,Naucoridae
TAXON87,Corydalidae
TAXON88,Sialidae
TAXON89,Pyralidae
