"","Acari","Aeshnidae","Ameletidae","Arctopsychinae","Athericidae","Baetidae","Belostomatidae","Bivalvia","Blephariceridae","Brachycentridae","Caenidae","Calamoceratidae","Calopterygidae","Capniidae","Ceratopogonidae","Chironomidae","Chloroperlidae","Coenagrionidae","Cordulegastridae","Corduliidae","Corixidae","Corydalidae","Crangonyctidae","Decapoda","Deuterophlebiidae","Dixidae","Dryopidae","Dytiscidae","Elmidae","Empididae","Ephemerellidae","Ephydridae","Gammaridae","Gastropoda","Glossiphoniidae","Glossosomatidae","Goeridae","Gomphidae","Gyrinidae","Haliplidae","Helicopsychidae","Helophoridae","Heptageniidae","Hyalellidae","Hydraenidae","Hydridae","Hydrophilidae","Hydropsychidae","Hydroptilidae","Isonychiidae","Isopoda","Lepidostomatidae","Leptoceridae","Leptohyphidae","Leptophlebiidae","Lestidae","Leuctridae","Libellulidae","Limnephilidae","Naucoridae","Nematoda","Nematomorpha","Nemouridae","Odontoceridae","Oligochaeta","Ostracoda","Peltoperlidae","Perlidae","Perlodidae","Philopotamidae","Phryganeidae","Polycentropodidae","Psephenidae","Psychodidae","Psychomyiidae","Pteronarcyidae","Pyralidae","Rhyacophilidae","Sericostomatidae","Sialidae","Simuliidae","Siphlonuridae","Stratiomyidae","Tabanidae","Taeniopterygidae","Tetrastemmatidae","Tipulidae","Turbellaria","Uenoidae","Unambiguous_NotAtRefCal"
"404S02920_20090512",0.88093284505327,0.0521740825332541,0.0513840581085945,0,0.00292830809846285,0.984876507550421,0.0849958258395989,0.177808457750161,0.00341766343593904,0.540232757948448,0.345312072938252,0.04554549032579,0.0266081287908849,0.0976346367301876,0.847221393034897,0.999987179487179,0.0991552413849331,0.465940135583709,0.0403016672338461,0.0124278046162104,0.154207172926603,0.130531269458818,0.0186119701890765,0.000475808936825886,0.000197800749974663,0.363404431415065,0.0796231439324752,0.524658606198949,0.466328019346734,0.378187161870581,0.387778159815884,0.0805417965723787,0.0270839377277108,0.582221325545957,0.00254545454545455,0.0849063528306896,0,0.0503577934655526,0.0144272377549214,0.174667499780985,0.0960001108401501,0,0.313672988608665,0.0791308328849658,0.162154583376516,0.0269484918698349,0.294369146497125,0.706720884623623,0.775383227309277,0.000915254237288136,0.0124278046162104,0.322496523222131,0.156835933595572,0.333350402544679,0.393460230529317,0.0854545904980687,0.00293742478670015,0.15919900953873,0.0703579733875484,0.0532162575817697,0.0700024309394673,3.1002331002331e-05,0.399926415487948,0.0547430806181727,0.722988549563399,0.526425814404238,0.00573973129661535,0.0659405857111765,0.352540151214543,0.233571612577539,0.000370922904256238,0.0493981536752048,0.291803981091963,0.106353754609883,0.327271523874244,0.0291946154157896,0.0527900263118115,0.195168882689519,0.36669746546202,0.162453484355106,0.801727087123144,0.0407652394271622,0.617685236018201,0.0403125027651188,0.0165894091415831,0.0400003717935676,0.477444261976822,0.124922878273505,0.00715254534794881,0
"404S02920_SCCWRP_20090512",0.88093284505327,0.0521740825332541,0.0513840581085945,0,0.00292830809846285,0.984876507550421,0.0849958258395989,0.177808457750161,0.00341766343593904,0.540232757948448,0.345312072938252,0.04554549032579,0.0266081287908849,0.0976346367301876,0.847221393034897,0.999987179487179,0.0991552413849331,0.465940135583709,0.0403016672338461,0.0124278046162104,0.154207172926603,0.130531269458818,0.0186119701890765,0.000475808936825886,0.000197800749974663,0.363404431415065,0.0796231439324752,0.524658606198949,0.466328019346734,0.378187161870581,0.387778159815884,0.0805417965723787,0.0270839377277108,0.582221325545957,0.00254545454545455,0.0849063528306896,0,0.0503577934655526,0.0144272377549214,0.174667499780985,0.0960001108401501,0,0.313672988608665,0.0791308328849658,0.162154583376516,0.0269484918698349,0.294369146497125,0.706720884623623,0.775383227309277,0.000915254237288136,0.0124278046162104,0.322496523222131,0.156835933595572,0.333350402544679,0.393460230529317,0.0854545904980687,0.00293742478670015,0.15919900953873,0.0703579733875484,0.0532162575817697,0.0700024309394673,3.1002331002331e-05,0.399926415487948,0.0547430806181727,0.722988549563399,0.526425814404238,0.00573973129661535,0.0659405857111765,0.352540151214543,0.233571612577539,0.000370922904256238,0.0493981536752048,0.291803981091963,0.106353754609883,0.327271523874244,0.0291946154157896,0.0527900263118115,0.195168882689519,0.36669746546202,0.162453484355106,0.801727087123144,0.0407652394271622,0.617685236018201,0.0403125027651188,0.0165894091415831,0.0400003717935676,0.477444261976822,0.124922878273505,0.00715254534794881,0
"404S03048_20090513",0.881576291656432,0.0513389212472208,0.0518865449818748,0,0.00393897978710064,0.983552396878484,0.0820546170851993,0.178981342777013,0.0050077450429698,0.545879721381951,0.344053679144486,0.0449140009012522,0.0257873419874157,0.0963482388435686,0.83947648328704,0.99998717948718,0.101960477643621,0.46076985681456,0.0395352123353597,0.0122850241545894,0.153221804691665,0.129145873478851,0.02190830783889,0.000746995377503852,0.000197800749974663,0.35676792536355,0.0801418860462799,0.520278585476384,0.473137408071131,0.378632483900281,0.392324173270028,0.0767059596016855,0.0265343373649195,0.575649712833224,0.004,0.0894619955149248,0,0.0540457944117211,0.0137245400550485,0.169422226631143,0.0984961813017082,0,0.323616387508954,0.0792181610475826,0.15909617710035,0.0261277050663657,0.288068505473074,0.701529772270635,0.770027343584934,0.00145762711864407,0.0122850241545894,0.327856409139865,0.158458026419458,0.338431029528892,0.394012424139359,0.0842196209587514,0.00273989392250262,0.159134317782439,0.069601416866929,0.0515746839748314,0.0698944260500819,3.1002331002331e-05,0.400906143230388,0.0562056478279765,0.716801190487438,0.518198097572001,0.00543108932130671,0.0737943117044259,0.35078823462217,0.233736230495534,0.000346231546231546,0.051712944377738,0.295588159885231,0.106269675783972,0.327884930837197,0.0304250620255042,0.0525219292651588,0.201251910372645,0.365697130307668,0.160250606799243,0.798423392046421,0.0389705684831422,0.615206259064771,0.0398666170233598,0.0170824161345901,0.0395791774098333,0.477384488585189,0.128642248343649,0.00728751082189734,0
"404S03048_SCCWRP_20090513",0.881576291656432,0.0513389212472208,0.0518865449818748,0,0.00393897978710064,0.983552396878484,0.0820546170851993,0.178981342777013,0.0050077450429698,0.545879721381951,0.344053679144486,0.0449140009012522,0.0257873419874157,0.0963482388435686,0.83947648328704,0.99998717948718,0.101960477643621,0.46076985681456,0.0395352123353597,0.0122850241545894,0.153221804691665,0.129145873478851,0.02190830783889,0.000746995377503852,0.000197800749974663,0.35676792536355,0.0801418860462799,0.520278585476384,0.473137408071131,0.378632483900281,0.392324173270028,0.0767059596016855,0.0265343373649195,0.575649712833224,0.004,0.0894619955149248,0,0.0540457944117211,0.0137245400550485,0.169422226631143,0.0984961813017082,0,0.323616387508954,0.0792181610475826,0.15909617710035,0.0261277050663657,0.288068505473074,0.701529772270635,0.770027343584934,0.00145762711864407,0.0122850241545894,0.327856409139865,0.158458026419458,0.338431029528892,0.394012424139359,0.0842196209587514,0.00273989392250262,0.159134317782439,0.069601416866929,0.0515746839748314,0.0698944260500819,3.1002331002331e-05,0.400906143230388,0.0562056478279765,0.716801190487438,0.518198097572001,0.00543108932130671,0.0737943117044259,0.35078823462217,0.233736230495534,0.000346231546231546,0.051712944377738,0.295588159885231,0.106269675783972,0.327884930837197,0.0304250620255042,0.0525219292651588,0.201251910372645,0.365697130307668,0.160250606799243,0.798423392046421,0.0389705684831422,0.615206259064771,0.0398666170233598,0.0170824161345901,0.0395791774098333,0.477384488585189,0.128642248343649,0.00728751082189734,0
"404S05992_20090512",0.883717891252465,0.0525441012396766,0.0514666781414724,0,0.00299610470863234,0.984572159724334,0.0824494565861552,0.179375404068397,0.00351935835119328,0.547881757438273,0.347191813315782,0.0456450595112103,0.0263525026925911,0.0971721062613933,0.845618422681742,0.999987179487179,0.099591667891367,0.466423838321649,0.0403673381141816,0.0127321524422974,0.152335170205669,0.128948791141262,0.0189502163202483,0.000492758089368259,0.000197800749974663,0.362046486854099,0.0807035532063259,0.52136086230688,0.474032117753854,0.382014495921939,0.389741994065643,0.0788597490694027,0.0268452607819594,0.584613735273297,0.00254545454545455,0.0859705498716737,0,0.0515589725370338,0.0138672638305407,0.172505972656673,0.0975204611604268,0,0.320402624116856,0.0800925980910198,0.161485148537221,0.0266928657715412,0.288473505660438,0.709344942216731,0.774088856241878,0.000949152542372881,0.0127321524422974,0.326666354864328,0.159861073893741,0.338823760064094,0.394745446786898,0.0837555938425504,0.00293742478670015,0.160275167352912,0.0710662382251427,0.0527050053851822,0.0698124757215091,3.1002331002331e-05,0.40404114821285,0.0560960651428595,0.723086701595597,0.524567926529401,0.00573973129661535,0.067429900375878,0.354589383117497,0.235610272517451,0.000370922904256238,0.049582468623337,0.29524647301419,0.105247241373672,0.331626322355056,0.0299050059832177,0.0531939433233188,0.19800693041924,0.368288418355846,0.162767015334075,0.804617342777586,0.0399326902519453,0.618923799591694,0.0403951227979968,0.01601248606466,0.0400829918264455,0.481707285614937,0.127984042606592,0.00718644365303356,0
"404S05992_SCCWRP_20090512",0.883717891252465,0.0525441012396766,0.0514666781414724,0,0.00299610470863234,0.984572159724334,0.0824494565861552,0.179375404068397,0.00351935835119328,0.547881757438273,0.347191813315782,0.0456450595112103,0.0263525026925911,0.0971721062613933,0.845618422681742,0.999987179487179,0.099591667891367,0.466423838321649,0.0403673381141816,0.0127321524422974,0.152335170205669,0.128948791141262,0.0189502163202483,0.000492758089368259,0.000197800749974663,0.362046486854099,0.0807035532063259,0.52136086230688,0.474032117753854,0.382014495921939,0.389741994065643,0.0788597490694027,0.0268452607819594,0.584613735273297,0.00254545454545455,0.0859705498716737,0,0.0515589725370338,0.0138672638305407,0.172505972656673,0.0975204611604268,0,0.320402624116856,0.0800925980910198,0.161485148537221,0.0266928657715412,0.288473505660438,0.709344942216731,0.774088856241878,0.000949152542372881,0.0127321524422974,0.326666354864328,0.159861073893741,0.338823760064094,0.394745446786898,0.0837555938425504,0.00293742478670015,0.160275167352912,0.0710662382251427,0.0527050053851822,0.0698124757215091,3.1002331002331e-05,0.40404114821285,0.0560960651428595,0.723086701595597,0.524567926529401,0.00573973129661535,0.067429900375878,0.354589383117497,0.235610272517451,0.000370922904256238,0.049582468623337,0.29524647301419,0.105247241373672,0.331626322355056,0.0299050059832177,0.0531939433233188,0.19800693041924,0.368288418355846,0.162767015334075,0.804617342777586,0.0399326902519453,0.618923799591694,0.0403951227979968,0.01601248606466,0.0400829918264455,0.481707285614937,0.127984042606592,0.00718644365303356,0
"404S06456_20090514",0.859289415134662,0.0484177762451528,0.048575883707166,0,0.00313414262802619,0.98541111786764,0.101710454983484,0.166934242697176,0.00412826708213591,0.485253588985866,0.331179413258485,0.0411676088397533,0.0277057139617936,0.0994779185483312,0.849925909912572,0.999974358974359,0.0948603658984647,0.457662049218829,0.0384928317049909,0.00988486312399356,0.168541984705433,0.140201647295089,0.0201125010855298,0.000636209553158706,0.000183348535522449,0.366664391615644,0.0718661417473871,0.547344241395494,0.410216058369153,0.348072286895942,0.374006002011308,0.0893623471836442,0.0283419235149523,0.556704792153724,0.00445454545454545,0.077171587938795,0,0.0421834007650146,0.0178949249118741,0.186038242523873,0.0866570112629803,0,0.267944780753513,0.0722272188659071,0.163660756221589,0.0281416772738438,0.334492985043833,0.677242860019426,0.780831992677755,0.00125423728813559,0.00988486312399356,0.291958981058244,0.135461733322492,0.296880110001628,0.380033644076385,0.097638931117192,0.00170575768836638,0.151740307960278,0.0622952880848238,0.0554114279235871,0.0715092998079734,3.47319347319347e-05,0.365328857992086,0.044989450081565,0.714032632477106,0.532619897107996,0.00373314189835929,0.0574238795566725,0.334466386327993,0.215444668421455,0.000213001813001813,0.0489090813659716,0.265406434200097,0.112133981826465,0.295523305194492,0.0244162021744188,0.049558363093551,0.175671509904708,0.351344497637792,0.156103298159304,0.775530459518374,0.0452235202295998,0.607881197230129,0.039027928683124,0.0218686632208371,0.0388886372177455,0.440666784466932,0.104294998164858,0.00477117421594209,0
"404S06456_SCCWRP_20090514",0.859289415134662,0.0484177762451528,0.048575883707166,0,0.00313414262802619,0.98541111786764,0.101710454983484,0.166934242697176,0.00412826708213591,0.485253588985866,0.331179413258485,0.0411676088397533,0.0277057139617936,0.0994779185483312,0.849925909912572,0.999974358974359,0.0948603658984647,0.457662049218829,0.0384928317049909,0.00988486312399356,0.168541984705433,0.140201647295089,0.0201125010855298,0.000636209553158706,0.000183348535522449,0.366664391615644,0.0718661417473871,0.547344241395494,0.410216058369153,0.348072286895942,0.374006002011308,0.0893623471836442,0.0283419235149523,0.556704792153724,0.00445454545454545,0.077171587938795,0,0.0421834007650146,0.0178949249118741,0.186038242523873,0.0866570112629803,0,0.267944780753513,0.0722272188659071,0.163660756221589,0.0281416772738438,0.334492985043833,0.677242860019426,0.780831992677755,0.00125423728813559,0.00988486312399356,0.291958981058244,0.135461733322492,0.296880110001628,0.380033644076385,0.097638931117192,0.00170575768836638,0.151740307960278,0.0622952880848238,0.0554114279235871,0.0715092998079734,3.47319347319347e-05,0.365328857992086,0.044989450081565,0.714032632477106,0.532619897107996,0.00373314189835929,0.0574238795566725,0.334466386327993,0.215444668421455,0.000213001813001813,0.0489090813659716,0.265406434200097,0.112133981826465,0.295523305194492,0.0244162021744188,0.049558363093551,0.175671509904708,0.351344497637792,0.156103298159304,0.775530459518374,0.0452235202295998,0.607881197230129,0.039027928683124,0.0218686632208371,0.0388886372177455,0.440666784466932,0.104294998164858,0.00477117421594209,0
"404S08040_20090512",0.889748333612311,0.0527539963283485,0.0512766082152197,0,0.0029772723169186,0.981858720989156,0.0741107440827411,0.182916895928975,0.00371333198584488,0.567712228312959,0.354791069582319,0.043744894281642,0.024976928745536,0.0953143787109612,0.835820490981084,0.99998717948718,0.0973180166538248,0.463044980205503,0.0395877001915813,0.0134994632313473,0.148865919472232,0.124121792435118,0.0236003668056972,0.000543605546995378,0.000197800749974663,0.355757091759987,0.0827901916558973,0.517014988264985,0.490829671356124,0.386882971505963,0.390571646426983,0.0715962152561268,0.0255205342925313,0.584961803278329,0.00445454545454545,0.086006136163708,0,0.0532438302023631,0.0116503050203615,0.163778308279782,0.100633041911917,0,0.334808921945777,0.0837694322833294,0.157680620918766,0.025317291824486,0.272534131093576,0.704398347612067,0.765967051779248,0.00105084745762712,0.0134994632313473,0.33435305664204,0.167092694466187,0.354541080463065,0.391278302410764,0.0801482832787181,0.00234483219410756,0.164843561744078,0.0711821760551557,0.0499538574910719,0.0696404288350186,3.1002331002331e-05,0.41001665951887,0.0591646805526688,0.715747795080566,0.513703017113644,0.00481380537068943,0.068645831487535,0.357990043253234,0.236720616266336,0.000296848830182164,0.0502530389984025,0.301153732121523,0.0982312443381468,0.344078142771873,0.0314113789737469,0.0535796074013189,0.201732828841896,0.369258685908649,0.159949154164703,0.807377042547234,0.0362893100370839,0.623039285364144,0.0398144804811717,0.0156908077429817,0.0395764235836945,0.48684103520005,0.135411496958512,0.00606591634606557,0
"404S08040_SCCWRP_20090512",0.889748333612311,0.0527539963283485,0.0512766082152197,0,0.0029772723169186,0.981858720989156,0.0741107440827411,0.182916895928975,0.00371333198584488,0.567712228312959,0.354791069582319,0.043744894281642,0.024976928745536,0.0953143787109612,0.835820490981084,0.99998717948718,0.0973180166538248,0.463044980205503,0.0395877001915813,0.0134994632313473,0.148865919472232,0.124121792435118,0.0236003668056972,0.000543605546995378,0.000197800749974663,0.355757091759987,0.0827901916558973,0.517014988264985,0.490829671356124,0.386882971505963,0.390571646426983,0.0715962152561268,0.0255205342925313,0.584961803278329,0.00445454545454545,0.086006136163708,0,0.0532438302023631,0.0116503050203615,0.163778308279782,0.100633041911917,0,0.334808921945777,0.0837694322833294,0.157680620918766,0.025317291824486,0.272534131093576,0.704398347612067,0.765967051779248,0.00105084745762712,0.0134994632313473,0.33435305664204,0.167092694466187,0.354541080463065,0.391278302410764,0.0801482832787181,0.00234483219410756,0.164843561744078,0.0711821760551557,0.0499538574910719,0.0696404288350186,3.1002331002331e-05,0.41001665951887,0.0591646805526688,0.715747795080566,0.513703017113644,0.00481380537068943,0.068645831487535,0.357990043253234,0.236720616266336,0.000296848830182164,0.0502530389984025,0.301153732121523,0.0982312443381468,0.344078142771873,0.0314113789737469,0.0535796074013189,0.201732828841896,0.369258685908649,0.159949154164703,0.807377042547234,0.0362893100370839,0.623039285364144,0.0398144804811717,0.0156908077429817,0.0395764235836945,0.48684103520005,0.135411496958512,0.00606591634606557,0
