"","1","2","3","4","5","6","7","8","9"
"1",0.01,0.003,0.003,0.001,0.028,0.002,0.027,0.36,0.566
"13",0.01,0.003,0.003,0.001,0.028,0.002,0.027,0.36,0.566
"35",0.009,0.003,0.003,0.001,0.044,0.002,0.043,0.335,0.56
"49",0.009,0.003,0.003,0.001,0.044,0.002,0.043,0.335,0.56
"77",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"87",0.01,0.003,0.003,0.001,0.028,0.002,0.028,0.345,0.58
"103",0.003,0.003,0.004,0.002,0.049,0.001,0.037,0.448,0.453
"133",0.003,0.003,0.004,0.002,0.049,0.001,0.037,0.448,0.453
"176",0.007,0.003,0.003,0.001,0.049,0.002,0.031,0.287,0.617
"187",0.007,0.003,0.003,0.001,0.049,0.002,0.031,0.287,0.617
"210",0.005,0.003,0.003,0.001,0.036,0.002,0.038,0.336,0.576
"220",0.005,0.003,0.003,0.001,0.036,0.002,0.038,0.336,0.576
"229",0.005,0.003,0.003,0.001,0.036,0.002,0.038,0.336,0.576
"246",0.005,0.003,0.003,0.001,0.036,0.002,0.038,0.336,0.576
"265",0.051,0.013,0.06,0.033,0.134,0.009,0.077,0.191,0.432
"281",0.051,0.013,0.06,0.033,0.134,0.009,0.077,0.191,0.432
"304",0.013,0.003,0.003,0.001,0.027,0.002,0.032,0.345,0.574
"317",0.013,0.003,0.003,0.001,0.027,0.002,0.032,0.345,0.574
"344",0.013,0.003,0.003,0.001,0.025,0.002,0.035,0.389,0.529
"360",0.013,0.003,0.003,0.001,0.025,0.002,0.035,0.389,0.529
"387",0.009,0.003,0.002,0.001,0.041,0.002,0.045,0.312,0.585
"405",0.009,0.003,0.002,0.001,0.041,0.002,0.045,0.312,0.585
"427",0.01,0.003,0.003,0.001,0.033,0.003,0.024,0.363,0.56
"436",0.01,0.003,0.003,0.001,0.033,0.003,0.024,0.363,0.56
"448",0.055,0.01,0.037,0.014,0.173,0.005,0.103,0.248,0.355
"492",0.055,0.01,0.037,0.014,0.173,0.005,0.103,0.248,0.355
"522",0.055,0.01,0.037,0.014,0.173,0.005,0.103,0.248,0.355
"576",0.055,0.01,0.037,0.014,0.173,0.005,0.103,0.248,0.355
