"","SampleID","StationCode","Intolerant_PercentTaxa","Clinger_Taxa","Noninsect_PercentTaxa","Ephemeroptera_Taxa","Plecoptera_PercentTaxa","Trichoptera_Taxa","Shredder_Taxa"
"1","404S02920_20090512","404S02920",0,2,0.666666666666667,12,1,12,12
"2","404S02920_SCCWRP_20090512","404S02920",0,5,0.363636363636364,22,1,22,22
"3","404S03048_20090513","404S03048",0,1,0.357142857142857,13,1,14,14
"4","404S03048_SCCWRP_20090513","404S03048",0,4,0.178571428571429,27,1,28,28
"5","404S05992_20090512","404S05992",0,1,0.5,8,1,10,10
"6","404S05992_SCCWRP_20090512","404S05992",0,2,0.3125,14,1,16,16
"7","404S06456_20090514","404S06456",3,6,0.333333333333333,25,1,25,30
"8","404S06456_SCCWRP_20090514","404S06456",3,11,0.232558139534884,38,1,38,43
"9","404S08040_20090512","404S08040",0,0,0.363636363636364,11,1,11,11
"10","404S08040_SCCWRP_20090512","404S08040",0,4,0.173913043478261,23,1,23,23
"11","404S08616_20090513","404S08616",0,0,0.6,10,1,10,10
"12","404S08616_dup_20090513","404S08616",0,0,0.444444444444444,9,1,9,9
"13","404S08616_dup_SCCWRP_20090513","404S08616",0,1,0.352941176470588,17,1,17,17
"14","404S08616_SCCWRP_20090513","404S08616",0,2,0.210526315789474,19,1,19,19
"15","404S11406_20090511","404S11406",1,2,0.375,11,1,15,16
"16","404S11406_SCCWRP_20090511","404S11406",1,4,0.260869565217391,18,1,22,23
"17","404S16516_20090518","404S16516",0,3,0.461538461538462,13,1,12,13
"18","404S16516_SCCWRP_20090518","404S16516",0,7,0.222222222222222,27,1,26,27
"19","404S17266_20090519","404S17266",0,2,0.3125,14,1,15,16
"20","404S17266_SCCWRP_20090519","404S17266",0,4,0.185185185185185,25,1,26,27
"21","404S17664_20090520","404S17664",0,2,0.388888888888889,18,1,17,18
"22","404S17664_SCCWRP_20090520","404S17664",0,2,0.318181818181818,22,1,21,22
"23","404S22464_20090519","404S22464",0,1,0.444444444444444,8,1,9,9
"24","404S22464_SCCWRP_20090519","404S22464",0,2,0.333333333333333,11,1,12,12
"25","AS19_1_20100502","AS19",6,12,0.181818181818182,38,0.954545454545455,34,44
"26","AS19_200110","AS19",3,13,0.172413793103448,27,1,20,29
"27","AS19_2002Fall","AS19",6,15,0.259259259259259,49,0.981481481481482,45,54
"28","AS19_2002Spring","AS19",7,18,0.22,47,0.96,38,50
"29","AS19_2003Fall","AS19",7,16,0.224489795918367,46,0.979591836734694,40,49
"30","AS19_2003Spring","AS19",7,14,0.159090909090909,40,0.977272727272727,31,44
"31","AS19_2005Winter","AS19",7,16,0.242424242424242,31,0.96969696969697,24,33
"32","AS19_2006","AS19",4,9,0.290322580645161,28,1,24,31
"33","AS19_2008","AS19",4,12,0.205882352941176,30,0.941176470588235,24,34
"34","AS19_20090611","AS19",4,11,0.282051282051282,34,0.948717948717949,31,39
"35","AS19_HTB_20110607","AS19",3,7,0.333333333333333,27,0.966666666666667,22,30
"36","CC11_1_20100503","CC11",1,3,0.181818181818182,19,0.954545454545455,20,22
"37","CC11_2_20100503","CC11",1,4,0.241379310344828,26,0.96551724137931,27,29
"38","CC11_200010","CC11",2,2,0.181818181818182,11,0.909090909090909,10,11
"39","CC11_200104","CC11",6,13,0.184210526315789,35,0.947368421052632,30,38
"40","CC11_200110","CC11",4,11,0.142857142857143,32,0.971428571428571,27,35
"41","CC11_2002Spring","CC11",5,11,0.214285714285714,37,0.952380952380952,33,42
"42","CC11_2003Spring","CC11",1,4,0.227272727272727,19,1,19,22
"43","CC11_2006","CC11",5,8,0.222222222222222,23,0.925925925925926,22,27
"44","CC11_20090609","CC11",6,9,0.27027027027027,34,0.945945945945946,29,37
"45","CC11_HTB_20110615","CC11",6,9,0.272727272727273,31,0.939393939393939,25,33
"46","CC2_1_20100503","CC2",0,3,0.333333333333333,17,1,15,18
"47","CC2_200104","CC2",4,10,0.228571428571429,32,0.971428571428571,29,35
"48","CC2_200110","CC2",4,12,0.16,23,1,16,25
"49","CC2_2002Spring","CC2",6,10,0.27906976744186,39,0.953488372093023,36,43
"50","CC2_2003Spring","CC2",2,9,0.242424242424242,30,0.96969696969697,28,33
"51","CC2_2005Winter","CC2",4,5,0.347826086956522,20,0.956521739130435,19,23
"52","CC2_2006","CC2",1,7,0.375,21,1,18,24
"53","CC2_20090608","CC2",3,5,0.416666666666667,22,1,19,24
"54","CC2_dup_2005Winter","CC2",3,7,0.285714285714286,18,1,16,21
"55","CC2_dup_2006","CC2",3,9,0.344827586206897,26,1,22,29
"56","CC2_HTB_20110616","CC2",3,6,0.35,19,0.95,15,20
"57","CC3_1_20100503","CC3",14,15,0.0952380952380952,39,0.904761904761905,34,42
"58","CC3_200010","CC3",10,11,0.175,35,0.95,32,40
"59","CC3_200104","CC3",12,17,0.113636363636364,42,0.909090909090909,32,44
"60","CC3_200110","CC3",10,12,0.153846153846154,36,0.948717948717949,30,39
"61","CC3_2002Fall","CC3",7,16,0.148936170212766,42,0.957446808510638,36,47
"62","CC3_2002Spring","CC3",15,18,0.14,47,0.92,41,50
"63","CC3_2003Fall","CC3",6,10,0.0967741935483871,28,0.935483870967742,26,31
"64","CC3_2003Spring","CC3",12,17,0.0434782608695652,42,0.934782608695652,35,46
"65","CC3_2005Winter","CC3",5,7,0.136363636363636,20,0.909090909090909,16,22
"66","CC3_2006","CC3",9,10,0.161290322580645,30,0.935483870967742,24,31
"67","CC3_2008","CC3",4,10,0.161290322580645,28,0.967741935483871,24,31
"68","CC3_20090610","CC3",7,15,0.129032258064516,29,0.967741935483871,23,31
"69","CC3_dup_20090610","CC3",10,16,0.181818181818182,42,0.931818181818182,35,44
